raw_compound,KD_M,reference_date,compound_id,smiles,smiles_source,pKD
CF-3-26,0.0003660659778899798,20200928,CF-3-26,COC1=CC=C(C)C=C1NC([C@@H]2CCNC2)=O,id_with_smiles,3.436440632498542
CF-3-46,,20200928,CF-3-46,COC1=CC=C(C)C=C1NC(COC2=C(F)C=CC=C2Cl)=O,id_with_smiles,
CF-4-05,,20200928,CF-4-05,FC1=CC(Cl)=CN=C1NCCC2=CC=C(F)C=C2,id_with_smiles,
CF-4-19,,20200928,CF-4-19,FC1=CC(Cl)=CN=C1N[C@@H](C2=CC=CC=C2)CO,id_with_smiles,
CF-4-34,0.00030069937319193073,20200928,CF-4-34,O=C(NCCCNC(OC(C)(C)C)=O)C1=CN=C(N(C)[C@@H](C)CO)N=C1,id_with_smiles,3.5218674771857126
CF-4-35,0.0016614302309244835,20200928,CF-4-35,O=C(NCC1CCN(C(OC(C)(C)C)=O)CC1)C2=CN=C(N(C)[C@@H](C)CO)N=C2,id_with_smiles,2.7795178914967367
CF-4-55,0.0011141797441669612,20200928,CF-4-55,BrC1=CN=C(NCCC2=CC=C(F)C=C2)C(F)=C1,id_with_smiles,2.953044741296141
CF-4-62,,20200928,CF-4-62,OC[C@H](C)NC1=NC2=C(C=CC(Br)=C2)C=C1,id_with_smiles,
CF-4-63,0.000776781474404938,20200928,CF-4-63,OCC(CO)NC1=NC2=C(C=CC(Br)=C2)C=C1,id_with_smiles,3.109701140540382
CF-4-92,,20200928,CF-4-92,FC1=CC(Cl)=CN=C1NC2CCNCC2.O=CO,id_with_smiles,
CF-4-94,0.0008830023381935043,20200928,CF-4-94,FC1=CC(Cl)=CN=C1N2C[C@@H](N)CC2,id_with_smiles,3.0540381464074913
CF-5-112,,20200928,CF-5-112,CC(NC(C=C1)=CC=C1N2C3=C(CCN(C(OC(C)(C)C)=O)C3)C4=C2C=CC=C4)=O,id_with_smiles,
CF-6-12,0.0006840469982398841,20200928,CF-6-12,O=C(O)C1CN(C(C2=CC=CC(F)=C2)=O)C3=CC=CC=C31,id_with_smiles,3.164914058550291
CF-6-13,0.00016282527838978525,20200928,CF-6-13,O=C(O)C1CN(C(C2=CC=C(F)C=C2)=O)C3=CC=CC=C31,id_with_smiles,3.7882781706202135
CF-6-31,0.0005073241563275247,20200928,CF-6-31,O=C(O)C1CN(C(C2=CC=CC(N3C=CN=C3)=C2)=O)C4=CC=CC=C41,id_with_smiles,3.294714458183328
CF-6-34,0.0010810368674856578,20200928,CF-6-34,O=C(O)C1CN(C(C2=CC(C(NCCNC(C)=O)=O)=CC=C2)=O)C3=CC=CC=C31,id_with_smiles,2.966159494693724
CF-6-56,0.003128563926140909,20200928,CF-6-56,O=C(O)C1CN(C(C2=CC(OC)=C(OC)C(OC)=C2)=O)C3=CC=CC=C31,id_with_smiles,2.50465496662969
CF-6-121,0.053294575609310765,20200928,CF-6-121,O=C(C1C2=CC=CC=C2N(C([C@H]3CCCN(C(C)=O)C3)=O)C1)O,id_with_smiles,1.2733169917769411
CF-2-09,0.0016719347188572863,20200928,CF-2-09,O=C1N(C2=C(Cl)C=CC=C2)CCC1NC3=CC=CC=C3OC,id_with_smiles,2.7767806837113187
CF-2-19,,20200928,CF-2-19,ClC1=C(N2C(C(NC(CCC3=CC=CC=C3)=O)CC2)=O)C=CC=C1,id_with_smiles,
CF-2-20,0.0002333135885336643,20200928,CF-2-20,ClC1=CC=CC=C1N2CCC(NC(CCC3=CC=CC=C3Cl)=O)C2=O,id_with_smiles,3.6320599665070175
CF-2-21,0.00021162417399909152,20200928,CF-2-21,ClC1=C(N2C(C(NC(COC3=CC=CC=C3)=O)CC2)=O)C=CC=C1,id_with_smiles,3.6744347239962356
CF-2-35,,20200928,CF-2-35,FC1=CC=CC(F)=C1N2CCC(NC(CCCN(C)C)=O)C2=O,id_with_smiles,
CF-3-05,,20200928,CF-3-05,CC1=CC=C(OC)C(NC([C@@H](NC(OC(C)(C)C)=O)CC2=CC=CC=C2)=O)=C1,id_with_smiles,
CF-3-27,,20200928,CF-3-27,COC1=CC=C(C)C=C1NC([C@H]2CCN(C(OC(C)(C)C)=O)C2)=O,id_with_smiles,
CF-3-28,0.00050450587696202,20200928,CF-3-28,COC1=CC=C(C)C=C1NC([C@H]2CCNC2)=O,id_with_smiles,3.297133770324376
CF-4-36,,20200928,CF-4-36,O=C(NC)C1=CN=C(N[C@@H](C)CO)N=C1,id_with_smiles,
CF-4-37,0.00014546018963869817,20200928,CF-4-37,O=C(NCC1=CC=CC=C1)C2=CN=C(N[C@@H](C)CO)N=C2,id_with_smiles,3.837255850567785
